date,mission,Year,Month,Week,Day,Dayofweek,Dayofyear,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start,Is_year_end,Is_year_start,Elapsed,STATION_x,NAME_x,DATE,AWND_x,FMTM,PGTM,PRCP_x,TAVG_x,TMAX_x,TMIN_x,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT05,WT08,WT10,STATION_y,NAME_y,AWND_y,PRCP_y,SNWD,TAVG_y,TMAX_y,TMIN_y,TOBS,WESD
2002-01-22,0,2002,1,4,22,1,22,False,False,False,False,False,False,1011657600,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-01-22,9.4,907.0,907.0,0.0,41.0,45.0,36.0,0.0,190,180,15.0,23.9,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.7,0.0,27.0,29.0,25.0,26.0,14.5
2002-01-23,1,2002,1,4,23,2,23,False,False,False,False,False,False,1011744000,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-01-23,13.87,1947.0,1911.0,0.01,42.0,47.0,37.0,0.0,190,180,23.9,36.0,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.8,0.0,29.0,33.0,26.0,33.0,15.0
2002-01-24,0,2002,1,4,24,3,24,False,False,False,False,False,False,1011830400,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-01-24,15.66,1718.0,1849.0,0.99,46.0,47.0,44.0,0.0,170,110,23.9,36.0,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,1.9,0.0,33.0,35.0,32.0,32.0,15.8
2002-01-25,0,2002,1,4,25,4,25,False,False,False,False,False,False,1011916800,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-01-25,10.96,1036.0,510.0,0.76,41.0,46.0,35.0,0.0,170,20,17.9,25.1,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,1.4,0.0,30.0,33.0,27.0,27.0,16.7
2002-01-26,0,2002,1,4,26,5,26,False,False,False,False,False,False,1012003200,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-01-26,10.07,1614.0,1614.0,0.08,37.0,41.0,33.0,0.0,170,170,21.0,23.9,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.7,0.0,25.0,29.0,22.0,23.0,17.0
2002-01-27,0,2002,1,4,27,6,27,False,False,False,False,False,False,1012089600,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-01-27,4.92,1450.0,1316.0,0.16,34.0,38.0,29.0,0.0,170,180,12.1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.2,0.0,24.0,32.0,20.0,20.0,17.1
2002-01-28,0,2002,1,5,28,0,28,False,False,False,False,False,False,1012176000,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-01-28,4.7,1616.0,1613.0,0.0,35.0,39.0,31.0,0.0,30,10,10.1,14.1,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.3,0.0,23.0,32.0,19.0,21.0,17.0
2002-01-29,0,2002,1,5,29,1,29,False,False,False,False,False,False,1012262400,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-01-29,6.49,2222.0,1733.0,0.11,34.0,38.0,29.0,0.0,140,200,10.1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.0,0.0,24.0,28.0,21.0,25.0,17.2
2002-01-30,0,2002,1,5,30,2,30,False,False,False,False,False,False,1012348800,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-01-30,9.4,1810.0,1810.0,0.02,39.0,44.0,34.0,0.0,170,170,17.0,21.9,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.6,0.0,30.0,33.0,25.0,32.0,18.6
2002-01-31,0,2002,1,5,31,3,31,True,False,False,False,False,False,1012435200,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-01-31,7.38,314.0,424.0,0.18,42.0,43.0,40.0,0.0,190,200,19.9,25.1,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,1.2,0.0,32.0,34.0,31.0,31.0,19.4
2002-02-01,0,2002,2,5,1,4,32,False,True,False,False,False,False,1012521600,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-02-01,8.05,1132.0,1241.0,0.0,44.0,48.0,39.0,0.0,170,210,16.1,19.9,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.6,0.0,31.0,35.0,28.0,28.0,19.6
2002-02-02,0,2002,2,5,2,5,33,False,False,False,False,False,False,1012608000,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-02-02,5.37,1456.0,2213.0,0.01,43.0,54.0,32.0,0.0,140,130,14.1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.0,0.0,30.0,34.0,26.0,31.0,19.5
2002-02-03,1,2002,2,5,3,6,34,False,False,False,False,False,False,1012694400,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-02-03,8.72,1215.0,1055.0,0.06,43.0,50.0,36.0,0.0,190,190,19.9,25.1,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.3,0.0,32.0,34.0,28.0,28.0,19.7
2002-02-04,0,2002,2,6,4,0,35,False,False,False,False,False,False,1012780800,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-02-04,1.12,2355.0,1829.0,0.0,42.0,52.0,31.0,0.0,160,230,6.9,14.1,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.1,0.0,30.0,34.0,26.0,29.0,19.9
2002-02-05,1,2002,2,6,5,1,36,False,False,False,False,False,False,1012867200,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-02-05,7.61,1349.0,1258.0,0.19,42.0,48.0,35.0,0.0,170,180,17.9,23.0,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.3,0.0,31.0,33.0,28.0,32.0,20.0
2002-02-06,0,2002,2,6,6,2,37,False,False,False,False,False,False,1012953600,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-02-06,10.29,1143.0,1209.0,0.55,47.0,51.0,43.0,0.0,180,210,23.0,29.1,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.3,0.0,32.0,33.0,32.0,32.0,20.4
2002-02-07,0,2002,2,6,7,3,38,False,False,False,False,False,False,1013040000,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-02-07,7.61,1103.0,415.0,0.58,43.0,47.0,39.0,0.0,170,200,15.0,21.9,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,1.0,0.0,32.0,35.0,29.0,29.0,21.1
2002-02-08,0,2002,2,6,8,4,39,False,False,False,False,False,False,1013126400,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-02-08,7.83,1306.0,1306.0,0.03,44.0,51.0,37.0,0.0,210,210,15.0,19.9,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.6,0.0,31.0,33.0,29.0,31.0,21.5
2002-02-09,1,2002,2,6,9,5,40,False,False,False,False,False,False,1013212800,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-02-09,2.91,1821.0,1815.0,0.0,45.0,55.0,35.0,0.0,120,130,14.1,17.0,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.1,0.0,31.0,34.0,28.0,31.0,21.7
2002-02-10,0,2002,2,6,10,6,41,False,False,False,False,False,False,1013299200,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-02-10,7.83,2051.0,2045.0,0.04,44.0,52.0,36.0,0.0,220,190,17.9,30.0,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.3,0.0,32.0,36.0,28.0,28.0,21.6
2002-02-11,0,2002,2,7,11,0,42,False,False,False,False,False,False,1013385600,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-02-11,4.25,2247.0,2247.0,0.0,41.0,47.0,34.0,0.0,40,50,10.1,14.1,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.0,0.0,28.0,34.0,23.0,24.0,21.7
2002-02-12,0,2002,2,7,12,1,43,False,False,False,False,False,False,1013472000,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-02-12,4.7,1643.0,1642.0,0.0,40.0,46.0,34.0,0.0,320,320,12.1,14.1,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.1,0.0,29.0,36.0,24.0,27.0,21.9
2002-02-13,1,2002,2,7,13,2,44,False,False,False,False,False,False,1013558400,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-02-13,2.46,1045.0,1335.0,0.0,38.0,48.0,28.0,0.0,150,30,8.9,15.0,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.0,0.0,30.0,37.0,24.0,30.0,21.6
2002-02-14,1,2002,2,7,14,3,45,False,False,False,False,False,False,1013644800,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-02-14,2.91,1633.0,1632.0,0.0,41.0,50.0,32.0,0.0,310,320,12.1,14.1,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.0,0.0,36.0,42.0,33.0,34.0,21.7
2002-02-15,0,2002,2,7,15,4,46,False,False,False,False,False,False,1013731200,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-02-15,3.8,2055.0,2226.0,0.0,48.0,60.0,36.0,0.0,120,210,12.1,17.0,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.0,0.0,35.0,41.0,31.0,31.0,21.6
2002-02-16,1,2002,2,7,16,5,47,False,False,False,False,False,False,1013817600,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-02-16,1.57,601.0,833.0,0.09,46.0,52.0,40.0,0.0,170,170,10.1,12.1,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.0,0.0,35.0,44.0,30.0,31.0,21.7
2002-02-17,0,2002,2,7,17,6,48,False,False,False,False,False,False,1013904000,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-02-17,5.82,1546.0,1537.0,0.11,45.0,50.0,39.0,0.0,170,200,13.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.3,0.0,34.0,38.0,31.0,32.0,21.6
2002-02-18,0,2002,2,8,18,0,49,False,False,False,False,False,False,1013990400,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-02-18,6.49,1634.0,1633.0,0.11,48.0,54.0,42.0,0.0,170,170,16.1,21.0,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.2,0.0,35.0,42.0,32.0,33.0,21.6
2002-02-19,1,2002,2,8,19,1,50,False,False,False,False,False,False,1014076800,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-02-19,12.75,116.0,121.0,0.13,46.0,51.0,40.0,0.0,190,190,23.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.5,0.0,34.0,37.0,31.0,31.0,21.5
2002-02-20,0,2002,2,8,20,2,51,False,False,False,False,False,False,1014163200,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-02-20,2.91,2358.0,1157.0,0.04,44.0,52.0,35.0,0.0,140,220,10.1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.0,0.0,34.0,40.0,30.0,35.0,21.5
2002-02-21,0,2002,2,8,21,3,52,False,False,False,False,False,False,1014249600,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-02-21,9.17,1525.0,1525.0,1.07,51.0,58.0,43.0,0.0,190,180,23.9,33.1,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,2.0,0.0,40.0,46.0,32.0,43.0,21.6
2002-02-22,1,2002,2,8,22,4,53,False,False,False,False,False,False,1014336000,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-02-22,5.59,1019.0,531.0,0.9,50.0,54.0,46.0,0.0,200,240,14.1,21.0,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.8,0.0,41.0,44.0,38.0,38.0,20.9
2002-02-23,0,2002,2,8,23,5,54,False,False,False,False,False,False,1014422400,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-02-23,3.58,238.0,329.0,0.39,42.0,46.0,38.0,0.0,340,310,13.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.7,0.0,35.0,39.0,30.0,30.0,20.3
2002-02-24,0,2002,2,8,24,6,55,False,False,False,False,False,False,1014508800,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-02-24,5.82,1241.0,1423.0,0.03,38.0,43.0,33.0,0.0,340,320,15.0,17.9,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.3,0.0,26.0,33.0,21.0,21.0,20.4
2002-02-25,0,2002,2,9,25,0,56,False,False,False,False,False,False,1014595200,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-02-25,3.8,1309.0,1615.0,0.0,40.0,50.0,29.0,0.0,330,60,13.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.2,0.0,25.0,32.0,19.0,23.0,20.6
2002-02-26,0,2002,2,9,26,1,57,False,False,False,False,False,False,1014681600,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-02-26,3.8,1608.0,1457.0,0.0,43.0,49.0,36.0,0.0,330,310,14.1,17.9,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.0,0.0,28.0,39.0,22.0,26.0,20.6
2002-02-27,0,2002,2,9,27,2,58,False,False,False,False,False,False,1014768000,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-02-27,2.68,2241.0,2236.0,0.02,37.0,47.0,27.0,0.0,50,40,13.0,16.1,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.0,0.0,30.0,41.0,25.0,28.0,20.8
2002-02-28,0,2002,2,9,28,3,59,True,False,False,False,False,False,1014854400,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-02-28,4.7,1550.0,1554.0,0.02,41.0,49.0,32.0,0.0,310,320,15.0,17.9,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.0,0.0,29.0,36.0,23.0,24.0,20.7
2002-03-01,1,2002,3,9,1,4,60,False,True,False,False,False,False,1014940800,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-03-01,4.03,1640.0,1505.0,0.0,39.0,50.0,27.0,0.0,300,300,8.9,12.1,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.0,0.0,28.0,39.0,22.0,26.0,20.7
2002-03-02,1,2002,3,9,2,5,61,False,False,False,False,False,False,1015027200,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-03-02,2.91,1538.0,1538.0,0.0,40.0,52.0,27.0,0.0,310,320,12.1,14.1,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.0,0.0,33.0,44.0,25.0,31.0,20.7
2002-03-03,0,2002,3,9,3,6,62,False,False,False,False,False,False,1015113600,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-03-03,2.24,1525.0,1327.0,0.0,44.0,56.0,31.0,0.0,310,280,8.1,10.1,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.0,0.0,38.0,52.0,29.0,36.0,20.7
2002-03-04,0,2002,3,10,4,0,63,False,False,False,False,False,False,1015200000,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-03-04,10.29,2009.0,2227.0,0.0,46.0,58.0,33.0,0.0,220,190,23.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.0,0.0,40.0,50.0,35.0,35.0,20.7
2002-03-05,0,2002,3,10,5,1,64,False,False,False,False,False,False,1015286400,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-03-05,5.82,307.0,226.0,0.02,43.0,48.0,38.0,0.0,200,190,17.9,25.1,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.8,0.0,30.0,35.0,28.0,29.0,21.4
2002-03-06,0,2002,3,10,6,2,65,False,False,False,False,False,False,1015372800,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-03-06,8.5,627.0,646.0,0.0,37.0,40.0,33.0,0.0,330,340,17.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.2,0.0,26.0,29.0,22.0,22.0,21.7
2002-03-07,0,2002,3,10,7,3,66,False,False,False,False,False,False,1015459200,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-03-07,7.83,1355.0,1355.0,0.44,35.0,41.0,29.0,0.0,170,170,17.9,25.1,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.1,0.0,24.0,30.0,20.0,21.0,21.8
2002-03-08,0,2002,3,10,8,4,67,False,False,False,False,False,False,1015545600,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-03-08,8.95,1311.0,1336.0,0.0,37.0,42.0,32.0,0.0,200,200,19.9,25.1,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.4,0.0,23.0,28.0,19.0,24.0,22.0
2002-03-09,0,2002,3,10,9,5,68,False,False,False,False,False,False,1015632000,USW00024234,"SEATTLE BOEING FIELD, WA US",2002-03-09,8.28,1244.0,1243.0,0.08,44.0,52.0,36.0,0.0,130,140,21.9,30.0,0.0,0.0,0.0,0.0,0.0,0.0,USS0021B21S,"MOUNT GARDNER, WA US",0.0,0.1,0.0,28.0,33.0,24.0,29.0,22.1
