"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT05","WT08","WT10"
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-02-04","1.12"," 2355"," 1829","0.00","42","52","31","    0","  160","  230","6.9","14.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-02-05","7.61"," 1349"," 1258","0.19","42","48","35","    0","  170","  180","17.9","23.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-02-06","10.29"," 1143"," 1209","0.55","47","51","43","    0","  180","  210","23.0","29.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-02-07","7.61"," 1103"," 0415","0.58","43","47","39","    0","  170","  200","15.0","21.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-02-08","7.83"," 1306"," 1306","0.03","44","51","37","    0","  210","  210","15.0","19.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-02-09","2.91"," 1821"," 1815","0.00","45","55","35","    0","  120","  130","14.1","17.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-02-10","7.83"," 2051"," 2045","0.04","44","52","36","    0","  220","  190","17.9","30.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-02-11","4.25"," 2247"," 2247","0.00","41","47","34","    0","   40","   50","10.1","14.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-02-12","4.70"," 1643"," 1642","0.00","40","46","34","    0","  320","  320","12.1","14.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-02-13","2.46"," 1045"," 1335","0.00","38","48","28","    0","  150","   30","8.9","15.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-02-14","2.91"," 1633"," 1632","0.00","41","50","32",,"  310","  320","12.1","14.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-02-15","3.80"," 2055"," 2226","0.00","48","60","36","    0","  120","  210","12.1","17.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-02-16","1.57"," 0601"," 0833","0.09","46","52","40","    0","  170","  170","10.1","12.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-02-17","5.82"," 1546"," 1537","0.11","45","50","39","    0","  170","  200","13.0","17.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-02-18","6.49"," 1634"," 1633","0.11","48","54","42","    0","  170","  170","16.1","21.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-02-19","12.75"," 0116"," 0121","0.13","46","51","40","    0","  190","  190","23.0","32.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-02-20","2.91"," 2358"," 1157","0.04","44","52","35","    0","  140","  220","10.1","15.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-02-21","9.17"," 1525"," 1525","1.07","51","58","43","    0","  190","  180","23.9","33.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-02-22","5.59"," 1019"," 0531","0.90","50","54","46","    0","  200","  240","14.1","21.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-02-23","3.58"," 0238"," 0329","0.39","42","46","38","    0","  340","  310","13.0","17.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-02-24","5.82"," 1241"," 1423","0.03","38","43","33","    0","  340","  320","15.0","17.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-02-25","3.80"," 1309"," 1615","0.00","40","50","29",,"  330","   60","13.0","17.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-02-26","3.80"," 1608"," 1457","0.00","43","49","36","    0","  330","  310","14.1","17.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-02-27","2.68"," 2241"," 2236","0.02","37","47","27","    0","   50","   40","13.0","16.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-02-28","4.70"," 1550"," 1554","0.02","41","49","32","    0","  310","  320","15.0","17.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-03-01","4.03"," 1640"," 1505","0.00","39","50","27","    0","  300","  300","8.9","12.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-03-02","2.91"," 1538"," 1538","0.00","40","52","27","    0","  310","  320","12.1","14.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-03-03","2.24"," 1525"," 1327","0.00","44","56","31","    0","  310","  280","8.1","10.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-03-04","10.29"," 2009"," 2227","0.00","46","58","33","    0","  220","  190","23.0","30.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-03-05","5.82"," 0307"," 0226","0.02","43","48","38","    0","  200","  190","17.9","25.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-03-06","8.50"," 0627"," 0646","0.00","37","40","33","    0","  330","  340","17.0","23.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-03-07","7.83"," 1355"," 1355","0.44","35","41","29","    0","  170","  170","17.9","25.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-03-08","8.95"," 1311"," 1336","0.00","37","42","32","    0","  200","  200","19.9","25.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-03-09","8.28"," 1244"," 1243","0.08","44","52","36","    0","  130","  140","21.9","30.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-03-10","9.17"," 1434"," 1433","0.18","46","51","40","    0","  200","  200","21.9","29.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-03-11","13.87"," 0916"," 0915","0.83","49","53","45","    0","  170","  160","25.1","36.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-03-12","14.09"," 0209"," 0209","0.41","45","48","41","    0","  210","  210","25.1","31.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-03-13","10.29"," 1043"," 1008","0.01","45","48","41","    0","  180","  180","17.9","25.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-03-14","7.16"," 1606"," 1536","0.02","44","48","40","    0","   40","   50","15.0","19.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-03-15","10.51"," 1323"," 2046","0.10","41","45","37","    0","  170","  180","17.0","23.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-03-16","8.05"," 0251"," 2143","0.29","36","39","33","    0","  180","  330","17.0","23.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-03-17","8.72"," 1149"," 1148","0.00","38","42","34","    0","  330","  320","17.0","23.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-03-18","11.86"," 1852"," 1851","0.17","39","43","35","    0","  190","  170","21.9","31.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-03-19","9.17"," 0933"," 0711","0.37","42","44","39","    0","  190","  180","21.9","30.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-03-20","7.61"," 1014"," 1253","0.22","37","39","34","    0","  340","  350","16.1","21.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-03-21","4.92"," 1530"," 1529","0.00","45","53","36","    0","  310","  310","14.1","17.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-03-22","2.68"," 1242"," 1848","0.00","44","55","32","    0","  300","  210","10.1","14.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-03-23","2.91"," 1627"," 1413","0.01","50","61","39","    0","  330","  230","8.1","16.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-03-24","3.80"," 1342"," 1537","0.02","51","56","45","    0","  170","  230","13.0","16.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-03-25","3.58"," 0524"," 2331","0.00","51","58","43","    0","  150","  230","8.9","12.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-03-26","9.84"," 1751"," 1750","0.00","46","49","42","    0","  190","  190","21.0","25.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-03-27","11.63"," 1627"," 1820","0.00","43","49","37","    0","  200","  190","23.0","31.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-03-28","7.61"," 0041"," 0030","0.04","49","53","45","    0","  170","  170","15.0","21.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-03-29","7.61"," 1601"," 1712","0.01","51","57","44","    0","  170","  190","15.0","19.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-03-30","5.14"," 0721"," 0518","0.00","50","54","45","    0","  170","  230","10.1","17.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-03-31","6.49"," 1758"," 1956","0.00","52","57","47","    0","  180","  180","15.0","17.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-04-01","6.04"," 0034"," 1331","0.04","49","54","43","    0","  180","  310","14.1","17.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-04-02","4.70"," 1408"," 1408","0.00","47","55","38",,"  300","  310","15.0","17.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-04-03","4.03"," 1449"," 1449","0.00","49","61","36",,"  310","  310","15.0","17.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-04-04","4.92"," 1616"," 1430","0.00","53","65","41",,"  320","  320","15.0","19.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-04-05","8.95"," 0642"," 1953","0.05","50","57","43",,"  150","   80","16.1","25.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-04-06","10.29"," 1910"," 1909","0.00","54","58","49",,"  220","  220","23.0","32.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-04-07","4.03"," 0022"," 0016","0.03","52","61","42",,"  190","  190","17.9","25.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-04-08","4.03"," 1706"," 1806","0.00","49","61","36","    0","  320","  330","12.1","14.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-04-09","7.38"," 1402"," 1507","0.44","54","59","48","    0","  170","  190","19.9","23.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-04-10","7.83"," 1550"," 1743","0.27","54","59","49","    0","  170","  190","14.1","17.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-04-11","8.05"," 2343"," 2343","0.14","55","60","50",,"  190","  200","12.1","16.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-04-12","8.72"," 0925"," 1228","0.17","56","59","52","    0","  190","  230","16.1","23.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-04-13","10.51"," 2358"," 2352","1.05","55","58","52","    0","  170","  200","19.9","29.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-04-14","15.21"," 0216"," 0633","0.17","49","55","42","    0","  200","  190","25.1","32.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-04-15","11.41"," 2324"," 0753","0.24","46","51","41","    0","  170","  170","17.9","25.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-04-16","8.28"," 0036"," 0151","0.14","44","48","40","    0","  160","  160","16.1","19.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-04-17","4.25"," 1710"," 1355","0.00","49","55","42","    0","  320","  300","13.0","17.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-04-18","3.13"," 1443"," 1427","0.00","51","60","41","    0","  310","  270","10.1","14.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-04-19","3.80"," 1822"," 1729","0.00","50","56","43","    0","  160","   60","8.1","19.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-04-20","3.36"," 0429"," 0435","0.00","50","57","42","    0","  170","  210","8.9","17.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-04-21","6.71"," 1439"," 1145","0.12","47","51","43","    0","  170","  220","14.1","16.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-04-22","10.29"," 1414"," 1349","0.00","49","56","42","    0","  200","  210","19.9","28.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-04-23","4.47"," 0936"," 0935","0.00","46","56","36","    0","  100","  150","12.1","15.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-04-24","5.59"," 1458"," 1614","0.00","48","60","36","    0","  320","  330","17.0","21.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-04-25","5.14"," 1712"," 1932","0.00","52","60","43","    0","  300","  300","10.1","13.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-04-26","5.59"," 0824"," 1018","0.23","46","49","43",,"  170","  170","14.1","17.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-04-27","4.92"," 1108"," 1030","0.30","49","55","42","    0","  150","  130","12.1","14.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-04-28","4.70"," 1014"," 1548","0.00","52","65","38",,"  170","  330","10.1","13.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-04-29","5.59"," 1407"," 1506","0.00","55","66","44",,"  310","  300","16.1","21.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-04-30","4.70"," 2227"," 1210","0.00","57","69","45","    0","  170","  310","13.0","16.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-05-01","9.17"," 1506"," 0402","0.00","51","54","47","    0","  190","  200","13.0","17.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-05-02","10.29"," 1816"," 1807","0.03","49","56","41","    0","  230","  250","21.0","28.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-05-03","9.62"," 1350"," 1742","0.00","49","59","39","    0","  160","  140","17.0","25.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-05-04","10.29"," 2326"," 2326","0.00","49","53","45","    0","  200","  200","17.0","25.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-05-05","12.75"," 1258"," 1317","0.00","48","55","41","    0","  200","  210","25.1","32.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-05-06","6.04"," 0851"," 0924","0.25","43","48","37","    0","  180","  190","15.0","19.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-05-07","5.14"," 2200"," 0415","0.00","45","55","35","    0","  150","  210","12.1","17.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-05-08","4.92"," 1138"," 1138","0.00","48","58","38","    0","  330","  210","14.1","21.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-05-09","4.03"," 1627"," 1626","0.00","51","58","44","    0","  310","  290","14.1","17.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-05-10","3.13"," 1607"," 1612","0.00","53","63","42","    0","  280","  280","13.0","16.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-05-11","4.70"," 1721"," 1822","0.00","57","67","46","    0","  300","  320","12.1","15.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-05-12","4.47"," 2252"," 2252","0.00","65","81","49","    0","  140","  140","13.0","15.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-05-13","9.40"," 0934"," 1625","0.12","55","61","49","    0","  190","  210","17.0","23.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-05-14","7.16"," 0140"," 0252","0.00","52","57","47","    0","  190","  200","14.1","17.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-05-15","3.58"," 1454"," 1517","0.00","52","62","42","    0","  280","  280","13.0","15.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-05-16","4.25"," 2038"," 2038","0.15","56","68","44","    0","  260","  260","16.1","21.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-05-17","6.26"," 1044"," 1105","0.05","55","63","47","    0","  200","  210","12.1","21.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-05-18","3.80"," 1906"," 1820","0.00","59","66","51","    0","  330","  330","10.1","13.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-05-19","3.80"," 1321"," 1202","0.08","56","60","52","    0","  320","  310","12.1","16.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-05-20","5.82"," 0820"," 0508","0.06","57","63","51","    0","  170","  220","15.0","19.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-05-21","4.92"," 0955"," 1043","0.20","56","62","50","    0","  180","   40","13.0","21.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-05-22","4.70"," 1847"," 0342","0.05","56","62","50","    0","  100","  220","12.1","17.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-05-23","4.70"," 1805"," 1741","0.00","57","64","49","    0","  310","  270","12.1","23.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-05-24","4.03"," 1646"," 1645","0.00","58","70","45","    0","  330","  320","8.9","13.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-05-25","2.46"," 2033"," 1120","0.01","61","68","54","    0","  320","  260","8.1","14.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-05-26","4.03"," 1454"," 1501","0.00","63","70","56",,"  200","  220","10.1","17.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-05-27","3.58"," 1749"," 1748","0.07","62","69","55","    0","  270","  270","13.0","15.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-05-28","7.16"," 1828"," 1155","0.23","61","66","56","    0","  150","  240","16.1","21.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-05-29","6.26"," 1435"," 0318","0.01","59","64","54","    0","  230","  100","14.1","25.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-05-30","3.80"," 1744"," 1743","0.00","59","68","49","    0","  290","  290","12.1","16.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-05-31","5.14"," 1801"," 1643","0.00","60","67","53","    0","  330","  310","13.0","17.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-06-01","4.25"," 1226"," 1224","0.00","62","71","53","    0","  290","  300","14.1","17.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-06-02","4.47"," 2045"," 0724","0.00","59","69","49","    0","   70","  160","10.1","16.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-06-03","4.70"," 1943"," 1053","0.00","60","71","49","    0","  230","  200","8.9","25.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-06-04","7.83"," 1443"," 1443","0.00","62","67","56","    0","  200","  200","15.0","21.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-06-05","10.74"," 1305"," 1600","0.00","62","70","53",,"  190","  220","21.9","29.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-06-06","6.71"," 2230"," 2244","0.09","57","62","51","    0","   50","   70","14.1","17.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-06-07","5.59"," 1340"," 1309","0.19","50","56","44",,"  300","   20","14.1","19.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-06-08","4.47"," 1448"," 1456","0.02","53","62","44",,"  320","  330","13.0","16.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-06-09","4.92"," 1226"," 1229","0.00","61","75","47","    0","  300","  340","13.0","17.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-06-10","6.93"," 0223"," 0814","0.00","62","71","52","    0","  170","  180","14.1","17.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-06-11","4.47"," 1711"," 1053","0.00","65","76","53","    0","  320","  290","13.0","17.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-06-12","6.26"," 1429"," 1416","0.00","70","82","57","    0","  320","  310","14.1","17.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-06-13","6.93"," 1530"," 1540","0.00","76","91","61","    0","  310","  320","15.0","17.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-06-14","7.61"," 0055"," 0325","0.00","63","70","55","    0","  160","  220","15.0","17.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-06-15","4.92"," 1514"," 1408","0.00","61","69","53","    0","  330","  240","8.9","21.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-06-16","8.72"," 1558"," 1557","0.00","61","68","54","    0","  190","  200","16.1","21.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-06-17","6.26"," 2342"," 1025","0.17","59","64","54",,"  200","  250","14.1","31.1",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-06-18","6.93"," 0331"," 0331","0.18","59","65","53","    0","  200","  200","16.1","23.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-06-19","6.71"," 1610"," 1654","0.00","61","69","52","    0","  290","  290","14.1","17.0",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-06-20","6.49"," 1410"," 1409","0.00","63","75","51","    0","  310","  310","15.0","19.9",,,,,,
"USW00024234","SEATTLE BOEING FIELD, WA US","2002-06-21","4.70"," 1632"," 1635","0.00","71","84","58","    0","  320","  320","13.0","16.1",,,,,,
